I.D. Number,Customer Class,Node,Arrival Date,Waiting Time,Service Start Date,Service Time,Service End Date,Time Blocked,Exit Date,Destination,Queue Size at Arrival,Queue Size at Departure
2,0,1,0.0793629994728086,0.0,0.0793629994728086,0.019630914459617524,0.09899391393242613,0.0,0.09899391393242613,-1,1,1
1,0,1,0.00721455320547546,0.0,0.00721455320547546,0.12534375102804168,0.13255830423351714,0.0,0.13255830423351714,-1,0,1
3,0,1,0.1135659384557886,0.0,0.1135659384557886,0.03979413945786647,0.15336007791365508,0.0,0.15336007791365508,-1,1,0
5,0,1,0.1712131818321904,0.0,0.1712131818321904,0.0019171349712566454,0.17313031680344704,0.0,0.17313031680344704,-1,1,1
4,0,1,0.16628513165908262,0.0,0.16628513165908262,0.10363912481533064,0.26992425647441326,0.0,0.26992425647441326,-1,0,1
6,0,1,0.26153606096918514,0.0,0.26153606096918514,0.03779901630889915,0.2993350772780843,0.0,0.2993350772780843,-1,1,0
7,0,1,0.33336916673687317,0.0,0.33336916673687317,0.0001405516133445861,0.33350971835021775,0.0,0.33350971835021775,-1,0,0
8,0,1,0.36284341951938137,0.0,0.36284341951938137,0.08523206484283852,0.4480754843622199,0.0,0.4480754843622199,-1,0,1
10,0,1,0.4916794735623875,0.0,0.4916794735623875,0.002071174830871325,0.49375064839325883,0.0,0.49375064839325883,-1,1,2
11,0,1,0.4929682338574573,0.0,0.4929682338574573,0.05197360709811977,0.5449418409555771,0.0,0.5449418409555771,-1,2,1
9,0,1,0.37583134701657045,0.0,0.37583134701657045,0.19369039884871936,0.5695217458652898,0.0,0.5695217458652898,-1,1,0
14,0,1,0.6466138141763521,0.0,0.6466138141763521,0.016708834498113223,0.6633226486744653,0.0,0.6633226486744653,-1,2,2
12,0,1,0.6329347189008447,0.0,0.6329347189008447,0.03199866723615419,0.6649333861369989,0.0,0.6649333861369989,-1,0,1
13,0,1,0.6451402733106298,0.0,0.6451402733106298,0.03655887456739093,0.6816991478780208,0.0,0.6816991478780208,-1,1,1
16,0,1,0.6886854154816152,0.0,0.6886854154816152,0.017499385098205145,0.7061848005798204,0.0,0.7061848005798204,-1,1,2
18,0,1,0.7181395443651394,0.0,0.7181395443651394,0.001448264751145012,0.7195878091162844,0.0,0.7195878091162844,-1,2,2
15,0,1,0.6754164860658584,0.0,0.6754164860658584,0.045653769556310175,0.7210702556221685,0.0,0.7210702556221685,-1,1,1
17,0,1,0.7010304058072621,0.0,0.7010304058072621,0.04103013907992792,0.74206054488719,0.0,0.74206054488719,-1,2,0
19,0,1,0.8090174064955657,0.0,0.8090174064955657,0.054196965976265776,0.8632143724718315,0.0,0.8632143724718315,-1,0,1
20,0,1,0.8604196501773931,0.0,0.8604196501773931,0.013711984476376116,0.8741316346537692,0.0,0.8741316346537692,-1,1,0
22,0,1,1.111794778520268,0.0,1.111794778520268,0.026967222932876567,1.1387620014531445,0.0,1.1387620014531445,-1,1,1
21,0,1,1.105352518460364,0.0,1.105352518460364,0.1310487328077179,1.236401251268082,0.0,1.236401251268082,-1,0,1
23,0,1,1.1757088402226847,0.0,1.1757088402226847,0.08279949160563271,1.2585083318283175,0.0,1.2585083318283175,-1,1,0
24,0,1,1.3134978487011477,0.0,1.3134978487011477,0.03655776989915238,1.3500556186003,0.0,1.3500556186003,-1,0,0
25,0,1,1.4021061899218412,0.0,1.4021061899218412,0.07397260082112211,1.4760787907429633,0.0,1.4760787907429633,-1,0,1
26,0,1,1.4201811258282586,0.0,1.4201811258282586,0.05904763340900443,1.479228759237263,0.0,1.479228759237263,-1,1,0
29,0,1,1.5641833873988122,0.0,1.5641833873988122,0.018536572569721965,1.5827199599685342,0.0,1.5827199599685342,-1,2,2
28,0,1,1.5624265908685162,0.0,1.5624265908685162,0.05927783722505442,1.6217044280935706,0.0,1.6217044280935706,-1,1,1
27,0,1,1.527238038080317,0.0,1.527238038080317,0.12480569578666145,1.6520437338669784,0.0,1.6520437338669784,-1,0,1
30,0,1,1.6440105200293589,0.0,1.6440105200293589,0.03566476453334988,1.6796752845627088,0.0,1.6796752845627088,-1,1,1
31,0,1,1.6535084967249942,0.0,1.6535084967249942,0.0530561222434458,1.70656461896844,0.0,1.70656461896844,-1,1,0
33,0,1,1.7376929452507595,0.0,1.7376929452507595,0.03853106534372164,1.776224010594481,0.0,1.776224010594481,-1,1,2
32,0,1,1.7142165165055323,0.0,1.7142165165055323,0.07482328578654096,1.7890398022920733,0.0,1.7890398022920733,-1,0,1
35,0,1,1.8099964407411417,0.0,1.8099964407411417,0.03330978876999402,1.8433062295111358,0.0,1.8433062295111358,-1,1,1
36,0,1,1.8436336304154408,0.0,1.8436336304154408,0.0020014081320507415,1.8456350385474916,0.0,1.8456350385474916,-1,1,1
34,0,1,1.773200134473493,0.0,1.773200134473493,0.10047157657063366,1.8736717110441266,0.0,1.8736717110441266,-1,2,1
37,0,1,1.8458566905421196,0.0,1.8458566905421196,0.0810206974692258,1.9268773880113454,0.0,1.9268773880113454,-1,1,0
39,0,1,2.075149714274788,0.0,2.075149714274788,0.012450025721455926,2.087599739996244,0.0,2.087599739996244,-1,1,1
38,0,1,2.0501389679014235,0.0,2.0501389679014235,0.05995957476387748,2.110098542665301,0.0,2.110098542665301,-1,0,1
41,0,1,2.183629085846978,0.0,2.183629085846978,0.051713166753997175,2.235342252600975,0.0,2.235342252600975,-1,1,1
42,0,1,2.2820383283921877,0.0,2.2820383283921877,0.017612993703385094,2.2996513220955728,0.0,2.2996513220955728,-1,1,1
